bank,card_name,url,network,tier,islamic,cobrand_partner,annual_fee_aed,joining_fee_aed,min_salary_aed,rewards_program,rewards_rate,cashback_rate,welcome_bonus,lounge_access,lounge_visits_per_year,travel_insurance,purchase_protection,foreign_txn_fee_pct,interest_rate_monthly_pct,other_benefits
FAB,FAB Islamic Etihad Guest Platinum,https://www.bankfab.com/en-ae/personal/cards/credit-cards/islamic-etihad-guest-platinum,Visa Platinum,Platinum,Yes,Etihad Airways,420,0,8000,Etihad Guest Miles,"1 mile/AED domestic; 2 miles/AED Etihad","",3000 bonus miles,Yes,2,Yes,Yes,2.99,3.49,"Islamic structure; Etihad benefits; travel insurance"
FAB,FAB Islamic Skywards Signature,https://www.bankfab.com/en-ae/personal/cards/credit-cards/islamic-skywards-signature,Visa Signature,Signature,Yes,Emirates Skywards,735,0,10000,Skywards Miles,"1 mile/AED domestic; 2 miles/AED international; 3 miles/AED Emirates","",Complimentary Skywards Silver 12 months,Yes,4,Yes,Yes,2.99,3.49,"Islamic structure; travel insurance; valet; golf"
FAB,FAB Islamic Skywards Platinum,https://www.bankfab.com/en-ae/personal/cards/credit-cards/islamic-skywards-platinum,Visa Platinum,Platinum,Yes,Emirates Skywards,420,0,8000,Skywards Miles,"0.75 miles/AED domestic; 1.5 miles/AED international; 2 miles/AED Emirates","",,"Yes",2,Yes,Yes,2.99,3.49,"Islamic structure; travel insurance; purchase protection"
FAB,FAB Cashback Infinite,https://www.bankfab.com/en-ae/personal/cards/credit-cards/cashback-infinite,Visa Infinite,Infinite,No,,1050,0,20000,,,"10% dining; 5% groceries; 2% all else",AED 500 cashback welcome,Yes,8,Yes,Yes,2.99,3.49,"Premium cashback card; purchase protection; airport transfers"
FAB,FAB SHARE Credit Card,https://www.bankfab.com/en-ae/personal/cards/credit-cards/share-credit-card,Visa,Standard,No,,0,0,5000,SHARE Points,"1 SHARE pt/AED","",,"No",0,No,No,2.99,3.49,"SHARE loyalty programme; lifestyle rewards"
FAB,FAB LuLu Platinum,https://www.bankfab.com/en-ae/personal/cards/credit-cards/lulu-platinum-credit-card,Mastercard Platinum,Platinum,No,LuLu Hypermarket,420,0,5000,LuLu Points,"5 pts/AED LuLu; 1 pt/AED elsewhere","",LuLu gift voucher welcome offer,No,0,No,Yes,2.99,3.49,"LuLu discounts; special offers at LuLu stores"
FAB,FAB LuLu Titanium,https://www.bankfab.com/en-ae/personal/cards/credit-cards/lulu-titanium-credit-card,Mastercard Titanium,Titanium,No,LuLu Hypermarket,210,0,5000,LuLu Points,"3 pts/AED LuLu; 0.5 pts/AED elsewhere","",LuLu voucher,No,0,No,No,2.99,3.49,"LuLu discounts; essential rewards"
FAB,FAB Islamic LuLu Platinum,https://www.bankfab.com/en-ae/personal/cards/credit-cards/islamic-lulu-platinum,Mastercard Platinum,Platinum,Yes,LuLu Hypermarket,420,0,5000,LuLu Points,"5 pts/AED LuLu; 1 pt/AED elsewhere","",LuLu gift voucher,No,0,No,Yes,2.99,3.49,"Islamic structure; LuLu discounts"
FAB,FAB Green Card,https://www.bankfab.com/en-ae/personal/cards/credit-cards/green-card,Visa,Entry,No,,0,0,5000,FAB Rewards,"0.5 pts/AED","",,"No",0,No,No,2.99,3.49,"Entry-level; free for life; sustainability-linked rewards"
FAB,FAB Wala'a Card,https://www.bankfab.com/en-ae/personal/cards/credit-cards/walaa-card,Mastercard,Standard,Yes,,0,0,5000,Wala'a Points,"Points on all spends","",,"No",0,No,No,2.99,3.49,"Islamic loyalty card; Wala'a programme redemptions"
FAB,FAB Signature Credit Card,https://www.bankfab.com/en-ae/personal/cards/credit-cards/signature-credit-card,Visa Signature,Signature,No,,735,0,15000,FAB Rewards,"2 pts/AED domestic; 4 pts/AED international","",,"Yes",4,Yes,Yes,2.99,3.49,"Signature tier benefits; travel insurance; golf"
FAB,FAB Platinum Credit Card,https://www.bankfab.com/en-ae/personal/cards/credit-cards/platinum-credit-card,Visa Platinum,Platinum,No,,420,0,8000,FAB Rewards,"1 pt/AED domestic; 2 pts/AED international","",,"Yes",2,Yes,Yes,2.99,3.49,"Platinum tier benefits; travel insurance"
FAB,FAB Titanium Credit Card,https://www.bankfab.com/en-ae/personal/cards/credit-cards/titanium-credit-card,Visa Titanium,Titanium,No,,210,0,5000,FAB Rewards,"0.5 pts/AED","",,"No",0,No,No,2.99,3.49,"Entry rewards; basic travel benefits"
Emirates NBD,Emirates NBD Skywards Infinite,https://www.emiratesnbd.com/en/cards/credit-cards/skywards-infinite-credit-card,Visa Infinite,Infinite,No,Emirates Skywards,1500,0,30000,Skywards Miles,"2 miles/AED domestic; 3 miles/AED international; 4 miles/AED Emirates","",Complimentary Skywards Silver + 30000 miles,Yes,Unlimited,Yes,Yes,2.75,3.45,"Golf unlimited; valet; airport transfers; concierge; Skywards Silver tier"
Emirates NBD,Emirates NBD Skywards Signature,https://www.emiratesnbd.com/en/cards/credit-cards/skywards-signature-credit-card,Visa Signature,Signature,No,Emirates Skywards,945,0,20000,Skywards Miles,"1.5 miles/AED domestic; 2 miles/AED international; 3 miles/AED Emirates","",15000 bonus miles,Yes,6,Yes,Yes,2.75,3.45,"Golf 4/mo; valet; travel insurance; purchase protection"
Emirates NBD,Emirates NBD Skywards Platinum,https://www.emiratesnbd.com/en/cards/credit-cards/skywards-platinum-credit-card,Visa Platinum,Platinum,No,Emirates Skywards,525,0,10000,Skywards Miles,"1 mile/AED domestic; 1.5 miles/AED international; 2 miles/AED Emirates","",8000 bonus miles,Yes,4,Yes,Yes,2.75,3.45,"Travel insurance; purchase protection; golf 2/mo"
Emirates NBD,Emirates NBD Etihad Guest Infinite,https://www.emiratesnbd.com/en/cards/credit-cards/etihad-guest-infinite-credit-card,Visa Infinite,Infinite,No,Etihad Airways,1500,0,30000,Etihad Guest Miles,"3 miles/AED Etihad; 2 miles/AED other","",Etihad Gold status + 30000 miles,Yes,Unlimited,Yes,Yes,2.75,3.45,"Etihad lounge; golf; valet; airport transfers; Etihad Gold fast-track"
Emirates NBD,Emirates NBD Etihad Guest Signature,https://www.emiratesnbd.com/en/cards/credit-cards/etihad-guest-signature-credit-card,Visa Signature,Signature,No,Etihad Airways,945,0,20000,Etihad Guest Miles,"2 miles/AED Etihad; 1.5 miles/AED other","",15000 Etihad miles,Yes,6,Yes,Yes,2.75,3.45,"Etihad lounge 4/yr; golf; travel insurance"
Emirates NBD,Emirates NBD Etihad Guest Platinum,https://www.emiratesnbd.com/en/cards/credit-cards/etihad-guest-platinum-credit-card,Visa Platinum,Platinum,No,Etihad Airways,525,0,10000,Etihad Guest Miles,"1.5 miles/AED Etihad; 1 mile/AED other","",5000 Etihad miles,Yes,2,Yes,Yes,2.75,3.45,"Etihad lounge 2/yr; travel insurance; purchase protection"
Emirates NBD,Emirates NBD Emirates Infinite,https://www.emiratesnbd.com/en/cards/credit-cards/emirates-infinite-credit-card,Visa Infinite,Infinite,No,Emirates (airline),2100,0,50000,Skywards Miles,"4 miles/AED Emirates; 2 miles/AED all else","",50000 miles + Silver status,Yes,Unlimited,Yes,Yes,2.75,3.45,"Exclusive Emirates airline card; chauffeur; golf; concierge; highest earn rates"
Emirates NBD,Emirates NBD Cashback Everyday,https://www.emiratesnbd.com/en/cards/credit-cards/cashback-everyday-credit-card,Visa,Standard,No,,0,0,5000,,,"5% supermarkets; 3% dining; 1% all else",AED 200 cashback,No,0,No,Yes,2.75,3.45,"Free for life; cashback credited monthly"
Emirates NBD,Emirates NBD Lulu Titanium,https://www.emiratesnbd.com/en/cards/credit-cards/lulu-titanium-credit-card,Mastercard Titanium,Titanium,No,LuLu Hypermarket,210,0,5000,LuLu Points,"3 pts/AED LuLu; 0.5 pts/AED elsewhere","",LuLu voucher,No,0,No,No,2.75,3.45,"LuLu co-brand; LuLu-specific rewards"
Emirates NBD,Emirates NBD Lulu Platinum,https://www.emiratesnbd.com/en/cards/credit-cards/lulu-platinum-credit-card,Mastercard Platinum,Platinum,No,LuLu Hypermarket,420,0,8000,LuLu Points,"5 pts/AED LuLu; 1 pt/AED elsewhere","",LuLu voucher,No,0,No,Yes,2.75,3.45,"LuLu premium co-brand; additional LuLu privileges"
Emirates NBD,Emirates NBD Beyond,https://www.emiratesnbd.com/en/cards/credit-cards/beyond-credit-card,Visa Infinite,Infinite,No,,3150,0,75000,ENBD Reward Points,"4 pts/AED domestic; 8 pts/AED international","",100000 welcome points,Yes,Unlimited,Yes,Yes,2.75,3.45,"Ultra-premium; concierge; golf unlimited; chauffeur; airport hotel; dedicated RM"
Emirates NBD,Emirates NBD Flex,https://www.emiratesnbd.com/en/cards/credit-cards/flex-credit-card,Visa,Standard,No,,0,0,5000,ENBD Reward Points,"1 pt/AED","",,"No",0,No,No,2.75,3.45,"Free for life; flexible redemptions; no category restrictions"
Emirates NBD,Emirates NBD Go4it Gold,https://www.emiratesnbd.com/en/cards/credit-cards/go4it-gold-credit-card,Mastercard Gold,Gold,No,,315,0,5000,Go4it Points,"1 pt/AED","",,"No",2,No,Yes,2.75,3.45,"Cinema discounts; lifestyle benefits; travel insurance"
Emirates NBD,Emirates NBD Go4it Platinum,https://www.emiratesnbd.com/en/cards/credit-cards/go4it-platinum-credit-card,Mastercard Platinum,Platinum,No,,630,0,8000,Go4it Points,"1.5 pts/AED","",,"Yes",4,Yes,Yes,2.75,3.45,"Cinema discounts; dining; travel insurance; purchase protection"
Emirates NBD,Emirates NBD Platinum,https://www.emiratesnbd.com/en/cards/credit-cards/platinum-credit-card,Visa Platinum,Platinum,No,,525,0,8000,ENBD Reward Points,"1 pt/AED domestic; 2 pts/AED international","",,"Yes",2,Yes,Yes,2.75,3.45,"Travel insurance; purchase protection; lifestyle benefits"
Emirates NBD,Emirates NBD Signature,https://www.emiratesnbd.com/en/cards/credit-cards/signature-credit-card,Visa Signature,Signature,No,,945,0,15000,ENBD Reward Points,"1.5 pts/AED domestic; 3 pts/AED international","",,"Yes",4,Yes,Yes,2.75,3.45,"Golf 2/mo; travel insurance; purchase protection; dining privileges"
Emirates NBD,Emirates NBD Islamic Skywards Infinite,https://www.emiratesnbd.com/en/islamic-banking/cards/credit-cards/skywards-infinite-credit-card,Visa Infinite,Infinite,Yes,Emirates Skywards,1500,0,30000,Skywards Miles,"2 miles/AED domestic; 3 miles/AED international; 4 miles/AED Emirates","",30000 miles + Silver status,Yes,Unlimited,Yes,Yes,2.75,3.45,"Islamic structure; golf; valet; airport transfers; Skywards Silver"
Emirates NBD,Emirates NBD Islamic Skywards Signature,https://www.emiratesnbd.com/en/islamic-banking/cards/credit-cards/skywards-signature-credit-card,Visa Signature,Signature,Yes,Emirates Skywards,945,0,20000,Skywards Miles,"1.5 miles/AED domestic; 2 miles/AED international","",15000 bonus miles,Yes,6,Yes,Yes,2.75,3.45,"Islamic structure; golf; travel insurance"
Emirates NBD,Emirates NBD Islamic Cashback Everyday,https://www.emiratesnbd.com/en/islamic-banking/cards/credit-cards/cashback-everyday-credit-card,Visa,Standard,Yes,,0,0,5000,,,"5% supermarkets; 3% dining; 1% all else",AED 200 cashback,No,0,No,Yes,2.75,3.45,"Islamic structure; free for life"
Emirates NBD,Emirates NBD Islamic Flex,https://www.emiratesnbd.com/en/islamic-banking/cards/credit-cards/flex-credit-card,Visa,Standard,Yes,,0,0,5000,ENBD Reward Points,"1 pt/AED","",,"No",0,No,No,2.75,3.45,"Islamic structure; free for life; flexible redemptions"
Emirates NBD,Emirates NBD Islamic Etihad Guest Infinite,https://www.emiratesnbd.com/en/islamic-banking/cards/credit-cards/etihad-guest-infinite-credit-card,Visa Infinite,Infinite,Yes,Etihad Airways,1500,0,30000,Etihad Guest Miles,"3 miles/AED Etihad; 2 miles/AED other","",30000 Etihad miles,Yes,Unlimited,Yes,Yes,2.75,3.45,"Islamic structure; Etihad lounge; golf; airport transfers"
Emirates NBD,Emirates NBD Islamic Etihad Guest Signature,https://www.emiratesnbd.com/en/islamic-banking/cards/credit-cards/etihad-guest-signature-credit-card,Visa Signature,Signature,Yes,Etihad Airways,945,0,20000,Etihad Guest Miles,"2 miles/AED Etihad; 1.5 miles/AED other","",15000 Etihad miles,Yes,6,Yes,Yes,2.75,3.45,"Islamic structure; Etihad lounge 4/yr; travel insurance"
Emirates NBD,Emirates NBD Islamic Platinum,https://www.emiratesnbd.com/en/islamic-banking/cards/credit-cards/platinum-credit-card,Visa Platinum,Platinum,Yes,,525,0,8000,ENBD Reward Points,"1 pt/AED domestic; 2 pts/AED international","",,"Yes",2,Yes,Yes,2.75,3.45,"Islamic structure; travel insurance; purchase protection"
Emirates NBD,Emirates NBD Islamic Go4it Gold,https://www.emiratesnbd.com/en/islamic-banking/cards/credit-cards/go4it-gold-credit-card,Mastercard Gold,Gold,Yes,,315,0,5000,Go4it Points,"1 pt/AED","",,"No",2,No,Yes,2.75,3.45,"Islamic structure; cinema discounts; lifestyle benefits"
Emirates NBD,Emirates NBD Islamic Go4it Platinum,https://www.emiratesnbd.com/en/islamic-banking/cards/credit-cards/go4it-platinum-credit-card,Mastercard Platinum,Platinum,Yes,,630,0,8000,Go4it Points,"1.5 pts/AED","",,"Yes",4,Yes,Yes,2.75,3.45,"Islamic structure; cinema; dining; travel insurance"
Emirates NBD,Emirates NBD Islamic LuLu Platinum,https://www.emiratesnbd.com/en/islamic-banking/cards/credit-cards/lulu-platinum-credit-card,Mastercard Platinum,Platinum,Yes,LuLu Hypermarket,420,0,8000,LuLu Points,"5 pts/AED LuLu; 1 pt/AED elsewhere","",LuLu voucher,No,0,No,Yes,2.75,3.45,"Islamic structure; LuLu co-brand"
DIB,DIB Johara Card,https://www.dib.ae/personal-banking/cards/credit-cards/johara-covered-card,Visa Infinite,Infinite,Yes,,1575,0,30000,DIB Points,"3 pts/AED domestic; 6 pts/AED international","",50000 DIB Points welcome,Yes,Unlimited,Yes,Yes,2.5,,"Ladies-exclusive premium card; spa; beauty privileges; Islamic"
DIB,DIB Infinite Covered Card,https://www.dib.ae/personal-banking/cards/credit-cards/infinite-covered-card,Visa Infinite,Infinite,Yes,,1575,0,30000,DIB Points,"3 pts/AED domestic; 6 pts/AED international","",50000 DIB Points,Yes,Unlimited,Yes,Yes,2.5,,"Top tier; golf; airport transfers; concierge; Islamic"
DIB,DIB Signature Covered Card,https://www.dib.ae/personal-banking/cards/credit-cards/signature-covered-card,Visa Signature,Signature,Yes,,840,0,20000,DIB Points,"2 pts/AED domestic; 4 pts/AED international","",20000 DIB Points,Yes,6,Yes,Yes,2.5,,"Golf; valet; travel insurance; Islamic"
DIB,DIB Platinum Covered Card,https://www.dib.ae/personal-banking/cards/credit-cards/platinum-covered-card,Visa Platinum,Platinum,Yes,,420,0,10000,DIB Points,"1 pt/AED domestic; 2 pts/AED international","",10000 DIB Points,Yes,2,Yes,Yes,2.5,,"Travel insurance; purchase protection; Islamic"
DIB,DIB Classic Covered Card,https://www.dib.ae/personal-banking/cards/credit-cards/classic-covered-card,Visa Classic,Classic,Yes,,0,0,3000,DIB Points,"0.5 pts/AED","",,"No",0,No,No,2.5,,"Entry-level Islamic; free for life"
DIB,DIB Cashback Covered Card,https://www.dib.ae/personal-banking/cards/credit-cards/cashback-covered-card,Visa,Standard,Yes,,0,0,5000,,,"5% dining; 3% supermarkets; 1% all else",AED 300 cashback,No,0,No,Yes,2.5,,"Islamic cashback; free for life"
DIB,DIB Skywards Infinite Covered Card,https://www.dib.ae/personal-banking/cards/credit-cards/skywards-infinite-covered-card,Visa Infinite,Infinite,Yes,Emirates Skywards,1575,0,30000,Skywards Miles,"3 miles/AED international; 1.5 miles/AED domestic","",30000 Skywards miles,Yes,Unlimited,Yes,Yes,2.5,,"Islamic Skywards card; Silver status; golf; airport transfers"
DIB,DIB Etihad Guest Infinite Covered Card,https://www.dib.ae/personal-banking/cards/credit-cards/etihad-guest-infinite-covered-card,Visa Infinite,Infinite,Yes,Etihad Airways,1575,0,30000,Etihad Guest Miles,"3 miles/AED Etihad; 2 miles/AED other","",30000 Etihad miles,Yes,Unlimited,Yes,Yes,2.5,,"Islamic Etihad card; Etihad lounge; golf; airport transfers"
DIB,DIB Etihad Guest Signature Covered Card,https://www.dib.ae/personal-banking/cards/credit-cards/etihad-guest-signature-covered-card,Visa Signature,Signature,Yes,Etihad Airways,840,0,20000,Etihad Guest Miles,"2 miles/AED Etihad; 1.5 miles/AED other","",15000 Etihad miles,Yes,6,Yes,Yes,2.5,,"Islamic Etihad card; lounge 4/yr; travel insurance"
DIB,DIB Etihad Guest Platinum Covered Card,https://www.dib.ae/personal-banking/cards/credit-cards/etihad-guest-platinum-covered-card,Visa Platinum,Platinum,Yes,Etihad Airways,420,0,10000,Etihad Guest Miles,"1.5 miles/AED Etihad; 1 mile/AED other","",5000 Etihad miles,Yes,2,Yes,Yes,2.5,,"Islamic Etihad card; lounge 2/yr; travel insurance"
DIB,DIB Smiles Card,https://www.dib.ae/personal-banking/cards/credit-cards/smiles-card,Visa,Standard,Yes,Smiles (e&),210,0,5000,Smiles Points,"Smiles pts on all spends","",500 Smiles welcome,No,0,No,No,2.5,,"Islamic Smiles co-brand; redeem on Etisalat bills; groceries; food delivery"
DIB,DIB Smiles Infinite Covered Card,https://www.dib.ae/personal-banking/cards/credit-cards/smiles-infinite-covered-card,Visa Infinite,Infinite,Yes,Smiles (e&),1575,0,30000,Smiles Points,"High Smiles earn rate","",50000 Smiles welcome,Yes,Unlimited,Yes,Yes,2.5,,"Premium Islamic Smiles card; lounge; golf; airport transfers"
DIB,DIB U by Emaar Card,https://www.dib.ae/personal-banking/cards/credit-cards/u-by-emaar-card,Visa,Standard,Yes,UPoints (Emaar),0,0,5000,UPoints,"UPoints on all spends","",,"No",0,No,No,2.5,,"Islamic Emaar co-brand; Emaar mall discounts; hospitality rewards"
ADIB,ADIB Cashback Visa Platinum,https://www.adib.ae/en/personal/cards/covered-cards/cashback-visa-platinum,Visa Platinum,Platinum,Yes,,0,0,5000,,,"1% international; 0.5% domestic","",No,0,No,Yes,,3.69,"Islamic; free for life; straightforward cashback"
ADIB,ADIB Cashback Visa Signature,https://www.adib.ae/en/personal/cards/covered-cards/cashback-visa-signature,Visa Signature,Signature,Yes,,500,0,12000,,,"2% international; 1% domestic","",Yes,4,Yes,Yes,,3.69,"Islamic; cashback credited monthly; travel insurance"
ADIB,ADIB Etihad Guest Visa Infinite,https://www.adib.ae/en/personal/cards/covered-cards/etihad-guest-visa-infinite,Visa Infinite,Infinite,Yes,Etihad Airways,1000,0,25000,Etihad Guest Miles,"2 miles/USD Etihad; 1.25 miles/USD international; 1 mile/USD domestic","",15000 Etihad miles on first spend,Yes,Unlimited,Yes,Yes,2.5,3.69,"Islamic Etihad card; lounge; golf; valet; concierge; Etihad Silver fast-track"
ADIB,ADIB Etihad Guest Visa Signature,https://www.adib.ae/en/personal/cards/covered-cards/etihad-guest-visa-signature,Visa Signature,Signature,Yes,Etihad Airways,500,0,12000,Etihad Guest Miles,"1.5 miles/USD Etihad; 1 mile/USD other","",8000 Etihad miles,Yes,4,Yes,Yes,2.5,3.69,"Islamic Etihad card; lounge 4/yr; travel insurance"
ADIB,ADIB Etihad Guest Visa Platinum,https://www.adib.ae/en/personal/cards/covered-cards/etihad-guest-visa-platinum,Visa Platinum,Platinum,Yes,Etihad Airways,250,0,8000,Etihad Guest Miles,"1 mile/USD Etihad; 0.75 miles/USD other","",3000 Etihad miles,Yes,2,Yes,Yes,2.5,3.69,"Islamic Etihad card; lounge 2/yr; travel insurance"
ADIB,ADIB Skywards Visa Signature,https://www.adib.ae/en/personal/cards/covered-cards/skywards-visa-signature,Visa Signature,Signature,Yes,Emirates Skywards,500,0,12000,Skywards Miles,"1.5 miles/USD; 2 miles/USD Emirates","",10000 Skywards miles,Yes,4,Yes,Yes,2.5,3.69,"Islamic Skywards card; Silver status option; travel insurance"
ADIB,ADIB Value+ Visa Infinite,https://www.adib.ae/en/personal/cards/covered-cards/value-plus-visa-infinite,Visa Infinite,Infinite,Yes,,1000,0,25000,ADIB Rewards,"3 pts/AED domestic; 6 pts/AED international","",30000 reward points,Yes,Unlimited,Yes,Yes,2.5,3.69,"Islamic premium; golf; valet; airport transfers; dining privileges"
ADIB,ADIB Lulu Visa Platinum,https://www.adib.ae/en/personal/cards/covered-cards/lulu-visa-platinum,Visa Platinum,Platinum,Yes,LuLu Hypermarket,250,0,5000,LuLu Points,"5 pts/AED LuLu; 1 pt/AED elsewhere","",LuLu voucher,No,0,No,Yes,2.5,3.69,"Islamic LuLu co-brand; LuLu discounts; special events"
ADIB,ADIB Smiles Visa Platinum,https://www.adib.ae/en/personal/cards/covered-cards/smiles-visa-platinum,Visa Platinum,Platinum,Yes,Smiles (e&),250,0,5000,Smiles Points,"Smiles on all spends","",1000 Smiles welcome,No,0,No,No,2.5,3.69,"Islamic Smiles card; redeem on telecom bills; food delivery; groceries"
HSBC UAE,HSBC Premier Credit Card,https://www.hsbc.ae/credit-cards/products/premier/,Visa Infinite,Infinite,No,,0,0,22000,HSBC Reward Plus,"1 pt/AED domestic; 2 pts/AED international","",Premier welcome gift,Yes,Unlimited,Yes,Yes,2.99,3.69,"Premier customer exclusive; golf; airport transfers; valet; concierge; APR 44.28%"
HSBC UAE,HSBC Cashback Credit Card,https://www.hsbc.ae/credit-cards/products/cashback/,Visa Signature,Signature,No,,0,0,10000,,,"10% dining UAE; 5% grocery UAE; 3.5% international; 1% domestic other",AED 500 cashback first 3 months,Yes,4,No,Yes,2.99,3.69,"Free for life; cashback on popular categories; APR 44.28%"
HSBC UAE,HSBC Advance Credit Card,https://www.hsbc.ae/credit-cards/products/advance/,Visa Platinum,Platinum,No,,0,0,10000,HSBC Reward Plus,"1 pt/AED","",Welcome points offer,Yes,2,Yes,Yes,2.99,3.69,"Advance banking client; travel insurance; purchase protection; APR 44.28%"
HSBC UAE,HSBC Visa Platinum Credit Card,https://www.hsbc.ae/credit-cards/products/platinum/,Visa Platinum,Platinum,No,,525,0,10000,HSBC Reward Plus,"1 pt/AED domestic; 2 pts/AED international","",,"Yes",2,Yes,Yes,2.99,3.69,"Travel insurance; purchase protection; lifestyle; APR 44.28%"
HSBC UAE,HSBC Black Credit Card,https://www.hsbc.ae/credit-cards/products/black/,Visa Infinite,Infinite,No,,1050,0,20000,HSBC Reward Plus,"2 pts/AED domestic; 4 pts/AED international","",50000 welcome points,Yes,Unlimited,Yes,Yes,2.99,3.69,"Premium lifestyle; golf; airport transfers; valet; APR 44.28%"
HSBC UAE,HSBC Live+ Credit Card,https://www.hsbc.ae/credit-cards/products/live-plus/,Visa,Standard,No,,0,0,5000,,,"6% dining; 4% entertainment; 2% all else",AED 200 cashback,No,0,No,No,2.99,3.69,"Entertainment focus; cinema; lifestyle discounts; APR 44.28%"
HSBC UAE,HSBC Zero Credit Card,https://www.hsbc.ae/credit-cards/products/zero/,Visa,Standard,No,,0,0,5000,,,,"",No,0,No,No,0,3.69,"0% foreign transaction fee; no annual fee; for frequent travellers; APR 44.28%"
Standard Chartered UAE,Standard Chartered Visa Infinite,https://www.sc.com/ae/credit-cards/visa-infinite/,Visa Infinite,Infinite,No,,1050,0,30000,360° Rewards,"3 pts/AED domestic; 6 pts/AED international","",40000 welcome points,Yes,Unlimited,Yes,Yes,2.5,3.69,"Golf; valet; airport transfers; concierge; 3.69% monthly (44.28% APR)"
Standard Chartered UAE,Standard Chartered Visa Signature,https://www.sc.com/ae/credit-cards/visa-signature/,Visa Signature,Signature,No,,525,0,15000,360° Rewards,"2 pts/AED domestic; 4 pts/AED international","",20000 welcome points,Yes,4,Yes,Yes,2.5,3.69,"Golf 2/mo; travel insurance; purchase protection; 3.69% monthly"
